region_id,file,start_datetime,stop_datetime,genotype
1,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,iso31
2,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,iso31
3,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,iso31
4,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,iso31
5,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,iso31
6,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,iso31
7,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,iso31
8,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,iso31
9,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,iso31
10,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,iso31
11,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,iso31
12,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,iso31
13,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
14,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
15,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
16,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
17,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
18,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
19,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
20,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
21,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
22,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
23,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
24,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
25,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
26,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
27,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
28,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
29,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
30,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
31,Monitor12.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,52634
1,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,36219 GD
2,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,36219 GD
3,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,36219 GD
4,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,36219 GD
5,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,36219 GD
6,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,36219 GD
7,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,36219 GD
8,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,36219 GD
9,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,36219 GD
10,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,36219 GD
11,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,36219 GD
12,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
13,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
14,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
15,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
16,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
17,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
18,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
19,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
20,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
21,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
22,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
23,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
24,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
25,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
26,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
27,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
28,Monitor13.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,31273 GD
1,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
2,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
3,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
4,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
5,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
6,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
7,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
8,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
9,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
10,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
11,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
12,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
13,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
14,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
15,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
16,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,26863 GD
17,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
18,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
19,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
20,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
21,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
22,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
23,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
24,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
25,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
26,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
27,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
28,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
29,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
30,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
31,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
32,Monitor14.txt,2020-04-27 08:00:00,2020-05-04 08:00:00,105037/KK
