region_id,machine_name,date,test,reference_hour
1,E_029,2016-01-25,1,7
2,E_029,2016-01-25,1,7
3,E_029,2016-01-25,1,7
4,E_029,2016-01-25,1,7
5,E_029,2016-01-25,1,7
6,E_029,2016-01-25,1,7
7,E_029,2016-01-25,1,7
8,E_029,2016-01-25,1,7
9,E_029,2016-01-25,1,7
10,E_029,2016-01-25,1,7
11,E_029,2016-01-25,1,7
12,E_029,2016-01-25,1,7
13,E_029,2016-01-25,1,7
14,E_029,2016-01-25,1,7
15,E_029,2016-01-25,1,7
16,E_029,2016-01-25,1,7
17,E_029,2016-01-25,1,7
18,E_029,2016-01-25,1,7
19,E_029,2016-01-25,1,7
20,E_029,2016-01-25,1,7
