region_id,machine_name,date,reference_hour,motor,genotype,age low,age high,ethoscope,run_id,gender
1,ETHOSCOPE_007,2020-06-29,10,N,DGRP441,4,5,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
2,ETHOSCOPE_007,2020-06-29,10,N,DGRP441,4,5,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
3,ETHOSCOPE_007,2020-06-29,10,N,DGRP441,4,5,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
4,ETHOSCOPE_007,2020-06-29,10,N,DGRP441,4,5,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
5,ETHOSCOPE_007,2020-06-29,10,N,DGRP441,4,5,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
6,ETHOSCOPE_007,2020-06-29,10,N,DGRP441,4,5,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
7,ETHOSCOPE_007,2020-06-29,10,N,DGRP441,4,5,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
11,ETHOSCOPE_007,2020-06-29,10,N,DGRP287,4,5,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
12,ETHOSCOPE_007,2020-06-29,10,N,DGRP287,4,5,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
13,ETHOSCOPE_007,2020-06-29,10,N,DGRP287,4,5,ETHOSCOPE_007,2020-06-29_14-41-06_007aad,M
